Local A,Local B,Meio de transporte,Distância,Informação extra,Ponto cardeal,Ordem A,Ordem B
A-32 - Saída 1,Cruzamento da A-32 com a A-44,Carro,1.9,A-32,E,1,3
A-376 - Centro Comercial,Cruzamento da A-376 com a SE-30,Carro,0.4,A-376,NO,1,3
A-376 - Centro Comercial,A-376 - Universidade Pablo de Olavide,Carro,0.9,A-376,SE,2,1
A-376 - Condequinto,A-376 - Montequinto,Carro,0.6,A-376,SE,2,1
A-376 - Condequinto,A-376 - Universidade Pablo de Olavide,Carro,0.8,A-376,NO,1,2
A-376 - Fim da auto-estrada,A-376 - Saída 21,Carro,2.2,A-376,NO,1,2
A-376 - Montequinto,A-376 - Saída 4A,Carro,0.4,A-376,SE,2,1
A-376 - Saída 4A,A-376 - Saída 4B,Carro,1.2,A-376,SE,2,1
A-376 - Saída 4B,Cruzamento da A-376 com a SE-40,Carro,2.9,A-376,SE,2,3
A-376 - Saída 8,A-376 - Saída 11/13,Carro,3.3,A-376,SE,2,1
A-376 - Saída 8,Cruzamento da A-376 com a SE-40,Carro,1.4,A-376,NO,1,4
A-376 - Saída 11/13,A-376 - Saída 16,Carro,4.9,A-376,SE,2,1
A-376 - Saída 16,A-376 - Saída 21,Carro,4.4,A-376,SE,2,1
A-381 - Saída 1,A-381 - Saída 4,Carro,3.5,A-381,SE,2,1
A-381 - Saída 1,Cruzamento da A-381 com a AP-4,Carro,0.9,A-381,NO,1,3
A-381 - Saída 4,A-381 - Saída 10,Carro,7.0,A-381,SE,2,1
A-381 - Saída 10,A-381 - Saída 17,Carro,6.5,A-381,SE,2,1
A-381 - Saída 17,A-381 - Saída 24,Carro,6.6,A-381,SE,2,1
A-381 - Saída 24,A-381 - Saída 31,Carro,7.1,A-381,SE,2,1
A-381 - Saída 31,A-381 - Saída 36,Carro,4.4,A-381,E,2,1
A-381 - Saída 36,A-381 - Saída 40,Carro,4.3,A-381,SE,2,1
A-381 - Saída 40,A-381 - Saída 42,Carro,1.8,A-381,SE,2,1
