Nome,Latitude,Longitude,Altitude,Informação extra
A-32 - Saída 1,38.097273,-3.719601,290,
A-376 - Centro Comercial,37.357193,-5.951810,13,
A-376 - Condequinto,37.347900,-5.937805,29,
A-376 - Fim da auto-estrada,37.198008,-5.796940,51,
A-376 - Montequinto,37.344585,-5.932902,32,
A-376 - Saída 4A,37.342232,-5.929522,39,
A-376 - Saída 4B,37.335382,-5.919569,54,
A-376 - Saída 8,37.307909,-5.887933,71,
A-376 - Saída 11/13,37.283298,-5.868607,69,
A-376 - Saída 16,37.245929,-5.839528,72,
A-376 - Saída 21,37.214831,-5.809944,56,
A-376 - Universidade Pablo de Olavide,37.352907,-5.943207,17,
A-381 - Saída 1,36.646900,-6.081397,9,
A-381 - Saída 4,36.618360,-6.066756,29,
A-381 - Saída 10,36.569307,-6.021928,89,
A-381 - Saída 17,36.524785,-5.984015,107,
A-381 - Saída 24,36.491003,-5.927320,67,
A-381 - Saída 31,36.469163,-5.853992,67,
A-381 - Saída 36,36.471663,-5.805327,110,
A-381 - Saída 40,36.455783,-5.763380,97,
A-381 - Saída 42,36.448035,-5.747357,51,
A-381 - Saída 45,36.439220,-5.720709,60,Parque Natural de Los Alcornocales
A-381 - Saída 54,36.384664,-5.653308,49,Parque Natural de Los Alcornocales
A-381 - Saída 66,36.299680,-5.594149,145,Parque Natural de Los Alcornocales
A-381 - Saída 70,36.263158,-5.583691,90,Parque Natural de Los Alcornocales
A-381 - Saída 73,36.236674,-5.580734,114,Parque Natural de Los Alcornocales
A-381 - Saída 77,36.214175,-5.545234,32,Parque Natural de Los Alcornocales
A-381 - Saída 80,36.200423,-5.516315,16,
A-381 - Saída 85,36.172555,-5.481236,18,
A-381 - Saída 87,36.174789,-5.466803,4,
A-4 - Saída 241,38.432656,-3.496904,689,
A-4 - Saída 243,38.414844,-3.498596,665,
A-4 - Saída 250-252,38.371207,-3.517313,582,Parque Natural de Despeñaperros
A-4 - Saída 257,38.343898,-3.542373,760,
A-4 - Saída 258,38.338255,-3.544867,744,
A-4 - Saída 259,38.329136,-3.545854,725,
A-4 - Saída 262,38.314536,-3.567557,730,
A-4 - Saída 264,38.299142,-3.582163,646,
A-4 - Saída 265,38.292113,-3.589702,615,
A-4 - Saída 266,38.281642,-3.593970,602,
A-4 - Saída 268,38.269920,-3.608071,577,
A-4 - Saída 269,38.267103,-3.611648,585,
A-4 - Saída 270,38.262419,-3.623095,554,
A-4 - Saída 274,38.235760,-3.629628,410,
A-4 - Saída 275,38.225262,-3.632509,391,
A-4 - Saída 280,38.195984,-3.671729,345,
A-4 - Saída 283,38.180602,-3.694757,351,
