Nome,Freguesia,Concelho
A13 - Saída 2,Santo Isidro de Pegões,Montijo
A16 - Saída 2,Alcabideche,Cascais
A16 - Saída 3,Alcabideche,Cascais
A2 - Saída 1,Pragal,Almada
A2 - Saída 2,Arrentela,Seixal
A2 - Saída 3,Quinta do Anjo,Palmela
A2 - Saída 4,Palmela,Palmela
A2 - Saída 6,Marateca,Palmela
A2 - Saída 8,São Martinho,Alcácer do Sal
A2 - Saída 9,Grândola,Grândola
A2 - Saída 11,Rio de Moinhos,Aljustrel
A2 - Saída 12,Castro Verde,Castro Verde
A2 - Saída 13,Gomes Aires,Almodôvar
A2 - Saída 14,São Bartolomeu de Messines,Silves
A22 - Início,Bensafrim,Lagos
A22 - Saída 1,Bensafrim,Lagos
A22 - Saída 11,Boliqueime,Loulé
A22 - Saída 12,São Clemente,Loulé
A22 - Saída 13,Almancil,Loulé
A22 - Saída 14,Estoi,Faro
A22 - Saída 15,Moncarapacho,Olhão
A22 - Saída 16,Santiago,Tavira
A22 - Saída 17,Altura,Castro Marim
A22 - Saída 18,Castro Marim,Castro Marim
A22 - Saída 2,Bensafrim,Lagos
A22 - Saída 3,Mexilhoeira Grande,Portimão
A22 - Saída 4,Portimão,Portimão
A22 - Saída 5,Portimão,Portimão
A22 - Saída 6,Silves,Silves
A22 - Saída 7,Alcantarilha,Silves
A22 - Saída 8,Pêra,Silves
A22 - Saída 9,Ferreiras,Albufeira
A26 - Fim,Figueira dos Cavaleiros,Ferreira do Alentejo
A5 - Fim,Cascais,Cascais
A5 - Saída 1,Alcântara,Lisboa
A5 - Saída 2,Alcântara,Lisboa
A5 - Saída 3,Benfica,Lisboa
A5 - Saída 4,Algés,Oeiras
A5 - Saída 5,Carnaxide,Oeiras
A5 - Saída 7,Paço de Arcos,Oeiras
A5 - Saída 8,São Domingos de Rana,Cascais
A5 - Saída 9,Estoril,Cascais
A5 - Saída 11,Alcabideche,Cascais
A5 - Saída 12,Cascais,Cascais
A6 - Saída 2,Vendas Novas,Vendas Novas
A6 - Saída 3,Nossa Senhora do Bispo,Montemor-o-Novo
A6 - Saída 4,Nossa Senhora da Vila,Montemor-o-Novo
A6 - Saída 5,Nossa Senhora de Guadalupe,Évora
A6 - Saída 6,Igrejinha,Arraiolos
A6 - Saída 7,Santa Maria,Estremoz
A6 - Saída 8,Matriz,Borba
A6 - Saída 9,São Brás e São Lourenço,Elvas
A6 - Saída 10,São Vicente e Ventosa,Elvas
A6 - Saída 11,Caia e São Pedro,Elvas
A6 - Saída 12,Caia e São Pedro,Elvas
A6 - Saída 13,Caia e São Pedro,Elvas
A9 CREL - Saída 2,Barcarena,Oeiras
A9 CREL - Saída 3,São Brás,Amadora
A9 CREL - Saída 4,Loures,Loures
Achada do Gamo,Santana de Cambas,Mértola
Aeródromo de Portimão,Alvor,Portimão
Aeroporto de Beja,São Brissos,Beja
Aeroporto de Faro,Montenegro,Faro
Afonso Vicente,Alcoutim,Alcoutim
Águas de Moura,Marateca,Palmela
"Álamo, Alcoutim",Alcoutim,Alcoutim
"Álamo, Mértola",Espírito Santo,Mértola
Albernoa,Albernoa,Beja
Albufeira - Centro histórico,Albufeira,Albufeira
Albufeira - Rua da Oura,Albufeira,Albufeira
Alcácer do Sal,Santa Maria do Castelo,Alcácer do Sal
Alcantarilha,Alcantarilha,Silves
Alcaria,Odeleite,Castro Marim
Alcaria dos Javazes,Espírito Santo,Mértola
Alcarias Grandes,Azinhal,Castro Marim
Alcoutim,Alcoutim,Alcoutim
Alferce,Alferce,Monchique
Algar de Benagil,Lagoa,Lagoa
Algarve Shopping,Guia,Albufeira
Algoz,Algoz,Silves
Aljezur,Aljezur,Aljezur
Aljustrel,Aljustrel,Aljustrel
Almada de Ouro,Azinhal,Castro Marim
Almancil,Almancil,Loulé
Almodôvar,Almodôvar,Almodôvar
Alta Mora,Odeleite,Castro Marim
Alte,Alte,Loulé
Altura,Altura,Castro Marim
Alves,Santana de Cambas,Mértola
Alvito,Alvito,Alvito
Alvor,Alvor,Portimão
Amareleja,Amareleja,Moura
Ameixal,Ameixal,Loulé
Aqualand Algarve,Alcantarilha,Silves
Aquashow,Quarteira,Loulé
Área de Repouso de Castro Marim,Castro Marim,Castro Marim
Área de Serviço de Alcácer do Sal,Santa Maria do Castelo,Alcácer do Sal
Área de Serviço de Aljustrel,São João de Negrilhos,Aljustrel
Área de Serviço de Almodôvar,Gomes Aires,Almodôvar
Área de Serviço de Estremoz,São Bento do Ameixial,Estremoz
Área de Serviço de Grândola,Grândola,Grândola
Área de Serviço de Lagos,Bensafrim,Lagos
Área de Serviço de Loulé,Boliqueime,Loulé
Área de Serviço de Montemor-o-Novo,Nossa Senhora da Vila,Montemor-o-Novo
Área de Serviço de Oeiras,Paço de Arcos,Oeiras
Área de Serviço de Olhão,Moncarapacho,Olhão
Área de Serviço de Palmela,Palmela,Palmela
Área de Serviço de Seixal,Amora,Seixal
Área de Serviço de Silves,Silves,Silves
Área de Serviço de Vendas Novas,Landeira,Vendas Novas
Armação de Pêra,Armação de Pêra,Silves
Autódromo Internacional do Algarve,Mexilhoeira Grande,Portimão
Azinhal,Azinhal,Castro Marim
Balurco de Baixo,Alcoutim,Alcoutim
Balurco de Cima,Alcoutim,Alcoutim
Bar do Rio,Alcoutim,Alcoutim
Barão de São João,Barão de São João,Lagos
Barão de São Miguel,Barão de São Miguel,Vila do Bispo
Barra do Guadiana,Vila Real de Santo António,Vila Real de Santo António
Barragem da Bravura,Bensafrim,Lagos
Barragem de Alcoutim,Alcoutim,Alcoutim
Barragem de Odeleite,Odeleite,Castro Marim
Barragem de Santa Clara,Santa Clara-a-Velha,Odemira
Barragem do Alqueva,São João Baptista,Moura
Barragem do Beliche,Castro Marim,Castro Marim
Barranco das Pereiras,Alcoutim,Alcoutim
Barranco do Velho,Salir,Loulé
Barrancos,Barrancos,Barrancos
Beja,Santa Maria da Feira,Beja
Beliche,Castro Marim,Castro Marim
Benafim,Benafim,Loulé
Bens,Santana de Cambas,Mértola
Bensafrim,Bensafrim,Lagos
Besteiros,Espírito Santo,Mértola
Bicada,Espírito Santo,Mértola
Boavista,Espírito Santo,Mértola
Boliqueime,Boliqueime,Loulé
Bordeira,Bordeira,Aljezur
Botelhas,Castro Marim,Castro Marim
Brinhosa,Odeleite,Castro Marim
Budens,Budens,Vila do Bispo
Burgau,Budens,Vila do Bispo
Cabanas de Tavira,Cabanas de Tavira,Tavira
Cabeço da Junqueira,Castro Marim,Castro Marim
Cabo de Santa Maria,Sé,Faro
Cabo de São Vicente,Sagres,Vila do Bispo
Cacela Velha,Vila Nova de Cacela,Vila Real de Santo António
Cachopo,Cachopo,Tavira
Cais da Mesquita,Espírito Santo,Mértola
Cais da Praia do Barril,Santa Luzia,Tavira
Caldas de Monchique,Monchique,Monchique
Canal Caveira,Grândola,Grândola
Carrapateira,Bordeira,Aljezur
Carvoeiro,Carvoeiro,Lagoa
"Casa Branca, Alcoutim",Alcoutim,Alcoutim
"Casa Branca, Castro Marim",Odeleite,Castro Marim
Cascata do Pego do Inferno,Santo Estêvão,Tavira
Cascata do Pulo do Lobo - Margem Direita,Mértola,Mértola
Cascata do Pulo do Lobo - Margem Esquerda,Santa Maria,Serpa
Casinhas,Castro Marim,Castro Marim
Castelo de Paderne,Paderne,Albufeira
Castro de Alferce,Alferce,Monchique
Castro Marim,Castro Marim,Castro Marim
Castro Marim Golfe & Country Club,Castro Marim,Castro Marim
Castro Verde,Castro Verde,Castro Verde
Cercado,Alcoutim,Alcoutim
Cercal do Alentejo,Cercal do Alentejo,Santiago do Cacém
Cerro,Alcoutim,Alcoutim
Cerro do Enho,Castro Marim,Castro Marim
Choça Queimada,Odeleite,Castro Marim
Coito,Pereiro,Alcoutim
Colos,Colos,Odemira
"Conceição, Faro",Conceição,Faro
"Conceição, Tavira",Conceição,Tavira
Corte da Seda,Alcoutim,Alcoutim
Corte das Donas,Alcoutim,Alcoutim
Corte do Gago,Azinhal,Castro Marim
Corte João Marques,Ameixal,Loulé
Corte Nova,Odeleite,Castro Marim
Corte Tabelião,Alcoutim,Alcoutim
Corte Velha,Odeleite,Castro Marim
Cortes Pereiras,Alcoutim,Alcoutim
Cruzamento da A12 com a A2,Palmela,Palmela
Cruzamento da A16 com a A5,Alcabideche,Cascais
Cruzamento da A16 com a A9 CREL,Belas,Sintra
Cruzamento da A2 com a A6 e a A13,Landeira,Vendas Novas
Cruzamento da A2 com a A22,Paderne,Albufeira
Cruzamento da A2 com a A26,Azinheira dos Barros e São Mamede do Sádão,Grândola
Cruzamento da A5 com a A9 CREL,Queijas,Oeiras
Cruzamento da M509 com a M512,Azinhal,Castro Marim
Cruzamento da M524 com a M525,Tôr,Loulé
Cruzamento da N120 com a N120-1,Cercal do Alentejo,Santiago do Cacém
Cruzamento da N120 com a N125,São Sebastião,Lagos
Cruzamento da N120 com a N268,Aljezur,Aljezur
Cruzamento da N122 com a M1059,Alcoutim,Alcoutim
Cruzamento da N122 com a M1060,Odeleite,Castro Marim
Cruzamento da N122 com a M1063,Odeleite,Castro Marim
Cruzamento da N122 com a M507,Pereiro,Alcoutim
Cruzamento da N122 com a M507-2,Alcoutim,Alcoutim
Cruzamento da N122 com a M512,Azinhal,Castro Marim
Cruzamento da N122 com a N123,Mértola,Mértola
Cruzamento da N122 com a N267,Mértola,Mértola
Cruzamento da N123 com a N263,Santa Maria,Odemira
Cruzamento da N123-1 com a N263,Santa Luzia,Ourique
Cruzamento da N124-1 com a N125,Lagoa,Lagoa
Cruzamento da N124 com a M507-1,Giões,Alcoutim
Cruzamento da N124 com a N125,Portimão,Portimão
Cruzamento da N124 com a N266,Portimão,Portimão
Cruzamento da N124 com a N270,São Bartolomeu de Messines,Silves
Cruzamento da N124 com a N396,Querença,Loulé
Cruzamento da N125-4 com a M521,São Clemente,Loulé
Cruzamento da N125 com a M1347,Santiago,Tavira
Cruzamento da N125 com a M516-2,Moncarapacho,Olhão
Cruzamento da N125 com a M526,Boliqueime,Loulé
Cruzamento da N125 com a M531-1,Alvor,Portimão
Cruzamento da N125 com a M535,Budens,Vila do Bispo
Cruzamento da N125 com a M537-2,Budens,Vila do Bispo
Cruzamento da N125 com a N125-6,Castro Marim,Castro Marim
Cruzamento da N125 com a N269,Ferreiras,Albufeira
Cruzamento da N125 com a N395,Ferreiras,Albufeira
Cruzamento da N125 com a N396,São Clemente,Loulé
